abnormal_time,inject_pod,inject_time,inject_type,normal_time,root_cause,nezha_rank,inject_comp_tdiff,result_list_string
2022-08-22 03:54,frontend-579b9bff58-t2dbm,2022-08-22 03:53:54,cpu_contention,2022-08-22 03:51,['CpuUsageRate(%)'],1,1,"Ranked ambigous patterns (by comparing normal event traces with current faulty event traces)
Pattern 1:
- Expected Event Trace:
    From: frontend hipstershop.Frontend/Recv. start
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Request started
- Actual Event Trace:
    From: frontend hipstershop.Frontend/Recv. start
    To: CpuUsageRate(%)
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
- Resource Alert: CpuUsageRate(%)"
2022-08-22 03:55,frontend-579b9bff58-t2dbm,2022-08-22 03:53:54,cpu_contention,2022-08-22 03:51,['CpuUsageRate(%)'],1,2,"Ranked ambigous patterns (by comparing normal event traces with current faulty event traces)
Pattern 1:
- Expected Event Trace:
    From: frontend hipstershop.Frontend/Recv. start
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Request started
- Actual Event Trace:
    From: frontend hipstershop.Frontend/Recv. start
    To: CpuUsageRate(%)
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
- Resource Alert: CpuUsageRate(%)
Pattern 1:
- Expected Event Trace:
    From: currencyservice grpc.hipstershop.CurrencyService/Convert start
    To: currencyservice hipstershop.CurrencyService/Carry start
- Abnormal Score: 0.7028169014084507- Trace Depth: 2- Affected Pod: currencyservice-cf787dd48-vpjrd"
2022-08-22 04:03,frontend-579b9bff58-t2dbm,2022-08-22 04:02:07,return,2022-08-22 03:51,"['Serving product page started', 'GetProduct start']",2,1,"Ranked ambigous patterns (by comparing normal event traces with current faulty event traces)
Pattern 1:
- Expected Event Trace:
    From: adservice hipstershop.AdService/<:SPANID:> start
    To: MemoryUsageRate(%)
- Abnormal Score: 1.0- Trace Depth: 4- Affected Pod: adservice-5f6585d649-fnmft
- Resource Alert: MemoryUsageRate(%)
Pattern 1:
- Expected Event Trace:
    From: <:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> Query items successfully.
    To: <:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> Get Ads by Category <:*:>
- Abnormal Score: 1.0- Trace Depth: 4- Affected Pod: adservice-5f6585d649-fnmft
- Resource Alert: MemoryUsageRate(%)
Pattern 1:
- Expected Event Trace:
    From: <:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> Received ad request (context words=<:ITEM:>
    To: adservice hipstershop.AdServiceImpl/getAds end
- Abnormal Score: 1.0- Trace Depth: 4- Affected Pod: adservice-5f6585d649-fnmft
- Resource Alert: MemoryUsageRate(%)
Pattern 1:
- Expected Event Trace:
    From: <:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> Received ad request (context words=<:ITEM:>
    To: adservice hipstershop.AdService/<:SPANID:> start
- Abnormal Score: 1.0- Trace Depth: 4- Affected Pod: adservice-5f6585d649-fnmft
- Resource Alert: MemoryUsageRate(%)
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: frontend hipstershop.ProductCatalogService/GetProduct start
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Product id not specified
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Choose Ad started
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Product id not specified
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: frontend hipstershop.CurrencyService/GetSupportedCurrencies start
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Product id not specified
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: frontend hipstershop.CartService/GetCart start
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Product id not specified
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: frontend hipstershop.CurrencyService/Convert start
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Product id not specified
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: frontend hipstershop.RecommendationService/ListRecommendations start
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Product id not specified
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm"
2022-08-22 04:04,frontend-579b9bff58-t2dbm,2022-08-22 04:02:07,return,2022-08-22 03:51,"['Serving product page started', 'GetProduct start']",2,2,"Ranked ambigous patterns (by comparing normal event traces with current faulty event traces)
Pattern 1:
- Expected Event Trace:
    From: adservice hipstershop.AdService/<:SPANID:> start
    To: MemoryUsageRate(%)
- Abnormal Score: 1.0- Trace Depth: 4- Affected Pod: adservice-5f6585d649-fnmft
- Resource Alert: MemoryUsageRate(%)
Pattern 1:
- Expected Event Trace:
    From: <:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> Query items successfully.
    To: <:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> Get Ads by Category <:*:>
- Abnormal Score: 1.0- Trace Depth: 4- Affected Pod: adservice-5f6585d649-fnmft
- Resource Alert: MemoryUsageRate(%)
Pattern 1:
- Expected Event Trace:
    From: <:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> Received ad request (context words=<:ITEM:>
    To: adservice hipstershop.AdServiceImpl/getAds end
- Abnormal Score: 1.0- Trace Depth: 4- Affected Pod: adservice-5f6585d649-fnmft
- Resource Alert: MemoryUsageRate(%)
Pattern 1:
- Expected Event Trace:
    From: <:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> Received ad request (context words=<:ITEM:>
    To: adservice hipstershop.AdService/<:SPANID:> start
- Abnormal Score: 1.0- Trace Depth: 4- Affected Pod: adservice-5f6585d649-fnmft
- Resource Alert: MemoryUsageRate(%)
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: frontend hipstershop.ProductCatalogService/GetProduct start
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Product id not specified
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Choose Ad started
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Product id not specified
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: frontend hipstershop.CurrencyService/GetSupportedCurrencies start
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Product id not specified
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: frontend hipstershop.CartService/GetCart start
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Product id not specified
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: frontend hipstershop.CurrencyService/Convert start
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Product id not specified
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: frontend hipstershop.RecommendationService/ListRecommendations start
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Product id not specified
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm"
2022-08-22 04:11,frontend-579b9bff58-t2dbm,2022-08-22 04:10:20,cpu_consumed,2022-08-22 03:51,['CpuUsageRate(%)'],1,1,"Ranked ambigous patterns (by comparing normal event traces with current faulty event traces)
Pattern 1:
- Expected Event Trace:
    From: frontend hipstershop.Frontend/Recv. start
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Request started
- Actual Event Trace:
    From: frontend hipstershop.Frontend/Recv. start
    To: CpuUsageRate(%)
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
- Resource Alert: CpuUsageRate(%)"
2022-08-22 04:12,frontend-579b9bff58-t2dbm,2022-08-22 04:10:20,cpu_consumed,2022-08-22 03:51,['CpuUsageRate(%)'],1,2,"Ranked ambigous patterns (by comparing normal event traces with current faulty event traces)
Pattern 1:
- Expected Event Trace:
    From: frontend hipstershop.Frontend/Recv. start
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Request started
- Actual Event Trace:
    From: frontend hipstershop.Frontend/Recv. start
    To: CpuUsageRate(%)
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm
- Resource Alert: CpuUsageRate(%)
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Getting supported currencies...
    To: currencyservice hipstershop.CurrencyService/GetCurrencyData start
- Abnormal Score: 0.75- Trace Depth: 3- Affected Pod: currencyservice-cf787dd48-vpjrd"
2022-08-22 04:19,frontend-579b9bff58-t2dbm,2022-08-22 04:18:35,exception,2022-08-22 03:51,"['Placing order started', 'Order placed complete']",1,1,"Ranked ambigous patterns (by comparing normal event traces with current faulty event traces)
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Placing order started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Order placed complete
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Placing order started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to complete the order
- Abnormal Score: 0.8181818181818182- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm"
2022-08-22 04:20,frontend-579b9bff58-t2dbm,2022-08-22 04:18:35,exception,2022-08-22 03:51,"['Placing order started', 'Order placed complete']",1,2,"Ranked ambigous patterns (by comparing normal event traces with current faulty event traces)
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Placing order started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Order placed complete
- Actual Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Placing order started
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to complete the order
- Abnormal Score: 1.0- Trace Depth: 1- Affected Pod: frontend-579b9bff58-t2dbm"
2022-08-22 04:28,cartservice-579f59597d-wc2lz,2022-08-22 04:27:03,network_delay,2022-08-22 03:51,['NetworkP90(ms)'],1,1,"Ranked ambigous patterns (by comparing normal event traces with current faulty event traces)
Pattern 1:
- Expected Event Trace:
    From: cartservice hipstershop.CartService/GetCart start
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> GetCartAsync called with userId=<:USERID:>
- Actual Event Trace:
    From: cartservice hipstershop.CartService/GetCart start
    To: NetworkP90(ms)
- Abnormal Score: 1.0- Trace Depth: 6- Affected Pod: cartservice-579f59597d-wc2lz
- Resource Alert: NetworkP90(ms)
Pattern 1:
- Expected Event Trace:
    From: cartservice hipstershop.CartService/EmptyCart start
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> EmptyCartAsync called with userId=<:USERID:>
- Actual Event Trace:
    From: cartservice hipstershop.CartService/EmptyCart start
    To: NetworkP90(ms)
- Abnormal Score: 1.0- Trace Depth: 5- Affected Pod: cartservice-579f59597d-wc2lz
- Resource Alert: NetworkP90(ms)
Pattern 1:
- Expected Event Trace:
    From: cartservice hipstershop.CartService/AddItem start
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> AddItemAsync called with userId=<:USERID:>, productId=<:PRODUCTID:>, quantity=<:NUM:>
- Actual Event Trace:
    From: cartservice hipstershop.CartService/AddItem start
    To: NetworkP90(ms)
- Abnormal Score: 1.0- Trace Depth: 2- Affected Pod: cartservice-579f59597d-wc2lz
- Resource Alert: NetworkP90(ms)"
2022-08-22 04:29,cartservice-579f59597d-wc2lz,2022-08-22 04:27:03,network_delay,2022-08-22 03:51,['NetworkP90(ms)'],1,2,"Ranked ambigous patterns (by comparing normal event traces with current faulty event traces)
Pattern 1:
- Expected Event Trace:
    From: cartservice hipstershop.CartService/GetCart start
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> GetCartAsync called with userId=<:USERID:>
- Actual Event Trace:
    From: cartservice hipstershop.CartService/GetCart start
    To: NetworkP90(ms)
- Abnormal Score: 1.0- Trace Depth: 6- Affected Pod: cartservice-579f59597d-wc2lz
- Resource Alert: NetworkP90(ms)
Pattern 1:
- Expected Event Trace:
    From: cartservice hipstershop.CartService/EmptyCart start
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> EmptyCartAsync called with userId=<:USERID:>
- Actual Event Trace:
    From: cartservice hipstershop.CartService/EmptyCart start
    To: NetworkP90(ms)
- Abnormal Score: 1.0- Trace Depth: 5- Affected Pod: cartservice-579f59597d-wc2lz
- Resource Alert: NetworkP90(ms)
Pattern 1:
- Expected Event Trace:
    From: TraceID: <:TRACEID:> SpanID: <:SPANID:> Getting supported currencies...
    To: currencyservice hipstershop.CurrencyService/GetCurrencyData start
- Abnormal Score: 1.0- Trace Depth: 3- Affected Pod: currencyservice-cf787dd48-vpjrd
Pattern 1:
- Expected Event Trace:
    From: cartservice hipstershop.CartService/AddItem start
    To: TraceID: <:TRACEID:> SpanID: <:SPANID:> AddItemAsync called with userId=<:USERID:>, productId=<:PRODUCTID:>, quantity=<:NUM:>
- Actual Event Trace:
    From: cartservice hipstershop.CartService/AddItem start
    To: NetworkP90(ms)
- Abnormal Score: 1.0- Trace Depth: 2- Affected Pod: cartservice-579f59597d-wc2lz
- Resource Alert: NetworkP90(ms)"
