abnormal_time,abnormal_patternnoerror_ranked,abnormal_patternerror_ranked,total_score,inject_time,inject_pod,inject_type
2022-08-22 03:54,"[{'events': '5_12', 'score': 2213, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_67', 'score': 1099, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_184', 'score': 503, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_6', 'score': 398, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_8', 'score': 386, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_10', 'score': 339, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_85', 'score': 282, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '73_74', 'score': -156, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '47_48', 'score': 104, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 104, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],59065,2022-08-22 03:53:54,frontend-579b9bff58-t2dbm,cpu_contention
2022-08-22 03:55,"[{'events': '5_12', 'score': 1724, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_67', 'score': 690, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '47_48', 'score': 684, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 684, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '73_74', 'score': 662, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '19_20', 'score': 444, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_184', 'score': 363, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_6', 'score': 300, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_8', 'score': 281, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_10', 'score': 270, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],43804,2022-08-22 03:53:54,frontend-579b9bff58-t2dbm,cpu_contention
2022-08-22 04:03,"[{'events': '47_48', 'score': 1676, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 1676, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '36_37', 'score': 1453, 'deepth': 1, 'pod': 'productcatalogservice-668d5f85fb-wckp8'}, {'events': '12_13', 'score': 1451, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': 1451, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '19_20', 'score': 414, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '73_74', 'score': 382, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '97_98', 'score': 301, 'deepth': 2, 'pod': 'adservice-5f6585d649-fnmft'}, {'events': '186_82', 'score': 261, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '10_11', 'score': 233, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 261, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",29943,2022-08-22 04:02:07,frontend-579b9bff58-t2dbm,return
2022-08-22 04:04,"[{'events': '47_48', 'score': 1471, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 1471, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_13', 'score': 1277, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': 1277, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '97_98', 'score': 298, 'deepth': 2, 'pod': 'adservice-5f6585d649-fnmft'}, {'events': '19_20', 'score': 273, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '186_82', 'score': 255, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '83_84', 'score': 223, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '85_86', 'score': 223, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '85_87', 'score': 223, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 255, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",34042,2022-08-22 04:02:07,frontend-579b9bff58-t2dbm,return
2022-08-22 04:11,"[{'events': '5_12', 'score': 2010, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_67', 'score': 783, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '73_74', 'score': 476, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_184', 'score': 427, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_6', 'score': 347, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '47_48', 'score': 333, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 333, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_8', 'score': 324, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_10', 'score': 315, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '19_20', 'score': 304, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],50771,2022-08-22 04:10:20,frontend-579b9bff58-t2dbm,cpu_consumed
2022-08-22 04:12,"[{'events': '5_12', 'score': 1769, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_67', 'score': 847, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '47_48', 'score': 633, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 633, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '36_37', 'score': 541, 'deepth': 2, 'pod': 'productcatalogservice-668d5f85fb-wckp8'}, {'events': '5_184', 'score': 389, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '73_74', 'score': 348, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_6', 'score': 321, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_8', 'score': 310, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_10', 'score': 276, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],47027,2022-08-22 04:10:20,frontend-579b9bff58-t2dbm,cpu_consumed
2022-08-22 04:19,"[{'events': '73_74', 'score': -240, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '19_20', 'score': -123, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_68', 'score': -120, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_69', 'score': -120, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '1_2', 'score': -26, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '4_5', 'score': -26, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_13', 'score': 19, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': 19, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '8_9', 'score': -17, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '8_23', 'score': -17, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 12, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",56300,2022-08-22 04:18:35,frontend-579b9bff58-t2dbm,exception
2022-08-22 04:20,"[{'events': '1_2', 'score': -33, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '4_5', 'score': -33, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '145_146', 'score': -31, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '97_98', 'score': -25, 'deepth': 2, 'pod': 'adservice-5f6585d649-fnmft'}, {'events': '23_24', 'score': -25, 'deepth': 1, 'pod': 'cartservice-579f59597d-wc2lz'}, {'events': '96_92', 'score': -24, 'deepth': 2, 'pod': 'adservice-5f6585d649-fnmft'}, {'events': '91_93', 'score': -24, 'deepth': 1, 'pod': 'adservice-5f6585d649-fnmft'}, {'events': '121_122', 'score': -23, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '121_36', 'score': -23, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '83_84', 'score': -18, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 26, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",55613,2022-08-22 04:18:35,frontend-579b9bff58-t2dbm,exception
2022-08-22 04:28,"[{'events': '47_48', 'score': 89, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 89, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '36_37', 'score': 67, 'deepth': 1, 'pod': 'productcatalogservice-668d5f85fb-wckp8'}, {'events': '12_13', 'score': 65, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': 65, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '97_98', 'score': 27, 'deepth': 2, 'pod': 'adservice-5f6585d649-fnmft'}, {'events': '19_20', 'score': 27, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '96_92', 'score': 22, 'deepth': 2, 'pod': 'adservice-5f6585d649-fnmft'}, {'events': '6_7', 'score': 22, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '6_16', 'score': 22, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],52419,2022-08-22 04:27:03,cartservice-579f59597d-wc2lz,network_delay
2022-08-22 04:29,"[{'events': '47_48', 'score': 215, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 215, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '36_37', 'score': 189, 'deepth': 1, 'pod': 'productcatalogservice-668d5f85fb-wckp8'}, {'events': '12_13', 'score': 188, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': 188, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '10_11', 'score': 30, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '10_26', 'score': 30, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '30_31', 'score': 30, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '30_32', 'score': 30, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '1_2', 'score': 29, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],51511,2022-08-22 04:27:03,cartservice-579f59597d-wc2lz,network_delay
