abnormal_time,abnormalpattern_noerror_ranked,abnormalpattern_error_ranked,inject_time,inject_pod,inject_type
2022-08-22 03:54,"[{'events': '5_12', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_67', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_184', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_6', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_8', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_10', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_85', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_14', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_77', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_101', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],2022-08-22 03:53:54,frontend-579b9bff58-t2dbm,cpu_contention
2022-08-22 03:55,"[{'events': '5_12', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_67', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_184', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_6', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_8', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_10', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_85', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_14', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_77', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_101', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],2022-08-22 03:53:54,frontend-579b9bff58-t2dbm,cpu_contention
2022-08-22 04:03,"[{'events': '186_82', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '97_98', 'score': -0.7082352941176471, 'deepth': 2, 'pod': 'adservice-5f6585d649-fnmft'}, {'events': '83_84', 'score': -0.6457142857142857, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '85_86', 'score': -0.6457142857142857, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '85_87', 'score': -0.6457142857142857, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '90_91', 'score': -0.6457142857142857, 'deepth': 1, 'pod': 'adservice-5f6585d649-fnmft'}, {'events': '10_11', 'score': -0.476482617586912, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '10_26', 'score': -0.476482617586912, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '30_31', 'score': -0.476482617586912, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '30_32', 'score': -0.476482617586912, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}]",2022-08-22 04:02:07,frontend-579b9bff58-t2dbm,return
2022-08-22 04:04,"[{'events': '186_82', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '97_98', 'score': -0.6962616822429907, 'deepth': 2, 'pod': 'adservice-5f6585d649-fnmft'}, {'events': '83_84', 'score': -0.631728045325779, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '85_86', 'score': -0.631728045325779, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '85_87', 'score': -0.631728045325779, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '90_91', 'score': -0.631728045325779, 'deepth': 1, 'pod': 'adservice-5f6585d649-fnmft'}, {'events': '10_11', 'score': -0.43253968253968256, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '10_26', 'score': -0.43253968253968256, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '30_31', 'score': -0.43253968253968256, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '30_32', 'score': -0.43253968253968256, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}]",2022-08-22 04:02:07,frontend-579b9bff58-t2dbm,return
2022-08-22 04:11,"[{'events': '5_12', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_67', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_184', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_6', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_8', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_10', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_85', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_14', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_77', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_101', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],2022-08-22 04:10:20,frontend-579b9bff58-t2dbm,cpu_consumed
2022-08-22 04:12,"[{'events': '5_12', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_67', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_184', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_6', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_8', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_10', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_85', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_14', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_101', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '5_77', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],2022-08-22 04:10:20,frontend-579b9bff58-t2dbm,cpu_consumed
2022-08-22 04:19,"[{'events': '2_109', 'score': -0.6363636363636364, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '2_107', 'score': 0.21621621621621623, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '121_122', 'score': 0.125, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '121_36', 'score': 0.125, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '106_92', 'score': 0.07964601769911495, 'deepth': 2, 'pod': 'adservice-5f6585d649-fnmft'}, {'events': '2_99', 'score': 0.07964601769911495, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '84_100', 'score': 0.07964601769911495, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '84_82'}, {'events': '101_102', 'score': 0.07964601769911495, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '101_32', 'score': 0.07964601769911495, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '89_103', 'score': 0.07964601769911495, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '89_90'}]","[{'events': '2_185', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}]",2022-08-22 04:18:35,frontend-579b9bff58-t2dbm,exception
2022-08-22 04:20,"[{'events': '121_122', 'score': 0.2149532710280373, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '121_36', 'score': 0.2149532710280373, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '145_146', 'score': 0.20529801324503305, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '110_4', 'score': 0.18181818181818188, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '111_112', 'score': 0.18181818181818188, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '111_113', 'score': 0.18181818181818188, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '119_120', 'score': 0.18181818181818188, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '119_23', 'score': 0.18181818181818188, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '123_124', 'score': 0.18181818181818188, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '123_51', 'score': 0.18181818181818188, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}]",2022-08-22 04:18:35,frontend-579b9bff58-t2dbm,exception
2022-08-22 04:28,"[{'events': '2_107', 'score': 0.10769230769230775, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '2_109', 'score': -0.09090909090909094, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '111_112', 'score': -0.09090909090909094, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '111_113', 'score': -0.09090909090909094, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '129_130', 'score': -0.09090909090909094, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '129_169', 'score': -0.09090909090909094, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '131_132', 'score': -0.09090909090909094, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '131_179', 'score': -0.09090909090909094, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '133_134', 'score': -0.09090909090909094, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '137_138', 'score': -0.09090909090909094, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],2022-08-22 04:27:03,cartservice-579f59597d-wc2lz,network_delay
2022-08-22 04:29,"[{'events': '2_107', 'score': 0.13432835820895517, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '2_76', 'score': -0.11538461538461542, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '77_78', 'score': -0.11538461538461542, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '77_79', 'score': -0.11538461538461542, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '2_3', 'score': -0.08080808080808077, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '14_15', 'score': -0.08080808080808077, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '14_51', 'score': -0.08080808080808077, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '55_56', 'score': -0.07296137339055797, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '59_60', 'score': -0.07296137339055797, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '63_64', 'score': -0.07296137339055797, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],2022-08-22 04:27:03,cartservice-579f59597d-wc2lz,network_delay
